Time (MS),Core Type,Frequency
100,large, 1106000.0
200,large, 1582000.0
300,large, 500000.0
400,large, 1106000.0
500,large, 500000.0
600,large, 1106000.0
700,large, 1106000.0
800,large, 2401000.0
900,large, 2401000.0
1000,large, 2507000.0
1100,large, 500000.0
1200,large, 1826000.0
1300,large, 1426000.0
1400,large, 2802000.0
1500,large, 2802000.0
1600,large, 1106000.0
1700,large, 851000.0
1800,large, 851000.0
1900,large, 2252000.0
2000,large, 2401000.0
2100,large, 2401000.0
2200,large, 2704000.0
2300,large, 500000.0
2400,large, 500000.0
2500,large, 851000.0
2600,large, 851000.0
2700,large, 500000.0
2800,large, 984000.0
2900,large, 851000.0
3000,large, 2401000.0
3100,large, 2704000.0
3200,large, 2252000.0
3300,large, 2704000.0
3400,large, 2401000.0
3500,large, 1106000.0
3600,large, 500000.0
3700,large, 984000.0
3800,large, 1106000.0
3900,large, 2401000.0
4000,large, 1106000.0
4100,large, 851000.0
4200,large, 851000.0
4300,large, 851000.0
4400,large, 851000.0
4500,large, 851000.0
4600,large, 851000.0
4700,large, 851000.0
4800,large, 851000.0
4900,large, 1582000.0
5000,large, 2401000.0
5100,large, 2704000.0
5200,large, 2507000.0
5300,large, 851000.0
5400,large, 851000.0
5500,large, 851000.0
5600,large, 851000.0
5700,large, 851000.0
5800,large, 851000.0
5900,large, 851000.0
6000,large, 500000.0
6100,large, 1106000.0
6200,large, 851000.0
6300,large, 851000.0
6400,large, 500000.0
6500,large, 851000.0
6600,large, 851000.0
6700,large, 851000.0
6800,large, 851000.0
6900,large, 851000.0
7000,large, 851000.0
7100,large, 851000.0
7200,large, 500000.0
7300,large, 1582000.0
7400,large, 1582000.0
7500,large, 500000.0
7600,large, 500000.0
7700,large, 1106000.0
7800,large, 1106000.0
7900,large, 2401000.0
8000,large, 2507000.0
8100,large, 2704000.0
8200,large, 2704000.0
8300,large, 851000.0
8400,large, 851000.0
8500,large, 1106000.0
8600,large, 500000.0
8700,large, 1582000.0
8800,large, 500000.0
8900,large, 1582000.0
9000,large, 500000.0
9100,large, 500000.0
9200,large, 1106000.0
9300,large, 1106000.0
9400,large, 2401000.0
9500,large, 2401000.0
9600,large, 2507000.0
9700,large, 1106000.0
9800,large, 851000.0
9900,large, 500000.0
10000,large, 500000.0
10100,large, 2507000.0
10200,large, 2401000.0
10300,large, 2401000.0
10400,large, 2704000.0
10500,large, 2507000.0
10600,large, 2704000.0
10700,large, 2704000.0
10800,large, 2704000.0
10900,large, 2704000.0
11000,large, 2704000.0
11100,large, 2704000.0
11200,large, 2704000.0
11300,large, 2704000.0
11400,large, 2704000.0
11500,large, 2704000.0
11600,large, 2704000.0
11700,large, 2704000.0
11800,large, 2704000.0
11900,large, 851000.0
12000,large, 851000.0
12100,large, 500000.0
12200,large, 1582000.0
12300,large, 1582000.0
12400,large, 1582000.0
12500,large, 500000.0
12600,large, 500000.0
12700,large, 1106000.0
12800,large, 1106000.0
12900,large, 2401000.0
13000,large, 2704000.0
13100,large, 851000.0
13200,large, 851000.0
13300,large, 500000.0
13400,large, 1582000.0
13500,large, 500000.0
13600,large, 1582000.0
13700,large, 500000.0
13800,large, 500000.0
13900,large, 1106000.0
14000,large, 1106000.0
14100,large, 851000.0
14200,large, 851000.0
14300,large, 851000.0
14400,large, 1106000.0
14500,large, 1582000.0
14600,large, 1582000.0
14700,large, 1582000.0
14800,large, 500000.0
14900,large, 500000.0
15000,large, 1106000.0
15100,large, 2401000.0
15200,large, 2401000.0
15300,large, 851000.0
15400,large, 851000.0
15500,large, 500000.0
15600,large, 1106000.0
15700,large, 500000.0
15800,large, 500000.0
15900,large, 1106000.0
16000,large, 1106000.0
16100,large, 2401000.0
16200,large, 851000.0
16300,large, 851000.0
16400,large, 851000.0
16500,large, 1106000.0
16600,large, 1582000.0
16700,large, 1582000.0
16800,large, 500000.0
16900,large, 1106000.0
17000,large, 1106000.0
17100,large, 2401000.0
17200,large, 2507000.0
17300,large, 2704000.0
17400,large, 2704000.0
17500,large, 2704000.0
17600,large, 2704000.0
17700,large, 2704000.0
17800,large, 2704000.0
17900,large, 851000.0
18000,large, 851000.0
18100,large, 500000.0
18200,large, 1582000.0
18300,large, 500000.0
18400,large, 1582000.0
18500,large, 500000.0
18600,large, 1106000.0
18700,large, 2401000.0
18800,large, 2401000.0
18900,large, 851000.0
19000,large, 851000.0
19100,large, 1106000.0
19200,large, 1582000.0
19300,large, 1582000.0
19400,large, 1582000.0
19500,large, 1582000.0
19600,large, 500000.0
19700,large, 1106000.0
19800,large, 2401000.0
19900,large, 2507000.0
20000,large, 851000.0
20100,large, 851000.0
20200,large, 500000.0
20300,large, 1582000.0
20400,large, 500000.0
20500,large, 1582000.0
20600,large, 500000.0
20700,large, 500000.0
20800,large, 1106000.0
20900,large, 1106000.0
21000,large, 2401000.0
21100,large, 2704000.0
21200,large, 2704000.0
21300,large, 2704000.0
21400,large, 2704000.0
21500,large, 2704000.0
21600,large, 2704000.0
21700,large, 2704000.0
21800,large, 2704000.0
21900,large, 2704000.0
22000,large, 2704000.0
22100,large, 2704000.0
22200,large, 2704000.0
22300,large, 2704000.0
